tx,BodyMassAFWD
Abludomelita obtusata,3.14E-04
Abra alba,1.01E-02
Abra nitida,1.46E-03
Abra prismatica,5.79E-03
Abra tenuis,5.72E-05
Abyssoninoe hibernica,3.90E-03
Acidostoma obesum,3.62E-04
Acrocnida brachiata,3.02E-02
Acteon tornatilis,1.13E-03
Alitta virens,7.70E-01
Altenaeum dawsoni,7.10E-05
Alvania lactea,1.12E-03
Ampelisca brevicornis,2.58E-03
Ampelisca diadema,1.21E-03
Ampelisca macrocephala,9.33E-04
Ampelisca spinipes,3.00E-04
Ampelisca tenuicornis,3.00E-04
Ampharete,1.53E-03
Amphilochus,2.98E-04
Amphipholis squamata,2.02E-04
Amphitrite,1.67E-04
Amphiura chiajei,3.11E-03
Amphiura filiformis,4.69E-03
Anobothrus gracilis,1.26E-03
Anthozoa,9.83E-02
Antinoella finmarchica,1.39E-02
Aonides paucibranchiata,4.44E-04
Aoridae,3.21E-04
Aphelochaeta marioni,5.49E-04
Apherusa,2.91E-04
Aphrodita,2.31E-01
Apistobranchus tullbergi,5.97E-04
Arcopagia crassa,3.43E-04
Arctica islandica,2.26E-02
Argissa hamatipes,2.83E-04
Aricidea cerrutii,1.40E-04
Aricidea minuta,4.86E-04
Aricidea suecica,1.51E-04
Ascidiacea,6.15E-01
Astarte,2.48E-03
Asterias,2.14E-01
Asteroidea,9.03E-02
Atherospio disticha,3.00E-04
Atherospio guillei,4.01E-04
Atylus,2.96E-04
Balanus crenatus,2.50E-05
Bathyporeia elegans,2.87E-04
Bathyporeia gracilis,3.00E-04
Bathyporeia guilliamsoniana,3.72E-04
Bathyporeia nana,1.18E-04
Bathyporeia pelagica,2.85E-04
Bathyporeia sarsi,3.00E-04
Bathyporeia tenuipes,2.90E-04
Bela nebula,9.98E-04
Bodotria arenosa,5.00E-04
Bodotria scorpioides,3.70E-04
Bopyrus squillarum,1.29E-02
Brada villosa,4.22E-03
Branchiostoma lanceolatum,3.40E-03
Brissopsis lyrifera,4.63E-01
Buccinum undatum,7.76E+00
Bylgides sarsi,5.93E-04
Callianassa,3.42E-02
Campylaspis glabra,1.98E-04
Capitella capitata,5.25E-04
Caprellidae,2.59E-04
Carcinus maenas,1.60E+00
Cardiidae,1.35E-01
Caulleriella,3.84E-04
Chaetoderma nitidulum,5.00E-04
Chaetognatha,1.00E-04
Chaetopterus variopedatus,2.87E-01
Chaetozone christiei,4.41E-04
Chaetozone setosa,6.72E-04
Chamelea striatula,2.11E-02
Cheirocratus sundevalli,3.00E-04
Chone,2.87E-03
Cirolana cranchi,4.93E-02
Cochlodesma praetenue,5.84E-03
Corbula gibba,1.17E-03
Corophium,2.88E-04
Corystes cassivelaunus,3.33E-01
Cossura longocirrata,5.80E-05
Crangon crangon,3.98E-02
Cucumaria frondosa,5.32E-02
Cylichna cylindracea,1.35E-03
Cylichnina umbilicata,7.49E-04
Devonia perrieri,6.42E-04
Diastylis bradyi,4.20E-04
Diastylis laevis,7.52E-04
Diastylis lucifera,2.00E-04
Diastylis rathkei,8.48E-04
Diastylis rugosa,8.24E-04
Diastylis tumida,2.00E-04
Diogenes pugilator,1.22E-02
Diplocirrus glaucus,1.33E-03
Diplodonta rotundata,4.51E-02
Dipolydora coeca,1.99E-04
Donax vittatus,3.36E-02
Dosinia exoleta,1.29E-02
Dosinia lupinus,2.44E-02
Drilonereis filum,9.17E-02
Dyopedos monacantha,2.96E-04
Ebalia,1.92E-02
Echinocardium,3.33E-01
Echinocyamus pusillus,1.07E-03
Echiuridae,9.05E-02
Electra pilosa,1.00E-04
Endeis spinosa,2.96E-04
Enipo kinbergi,1.73E-02
Ennucula tenuis,7.84E-04
Ensis,6.98E-01
Enteropneusta,8.64E-02
Entoprocta,1.00E-04
Eteone barbata,7.61E-04
Eteone flava,9.24E-04
Eteone longa,9.33E-04
Eudorella emarginata,3.12E-04
Eudorella truncatula,2.56E-04
Eudorellopsis deformis,3.20E-04
Eulalia bilineata,1.03E-04
Eulima,3.72E-04
Eumida sanguinea,1.12E-03
Eunereis elittoralis,1.47E-02
Eunereis longissima,4.15E-02
Eunoe nodosa,1.28E-03
Eupolymnia nebulosa,6.63E-04
Eurydice pulchra,2.38E-04
Eurydice spinigera,2.97E-04
Euspira catena,1.27E-01
Euspira nitida,3.79E-03
Euzonus flabelligerus,5.50E-04
Galathowenia oculata,6.05E-04
Gammaridae,4.87E-04
Gammaropsis,3.01E-04
Gari fervensis,4.66E-02
Gastrosaccus spinifer,1.92E-03
Gattyana amondseni,5.78E-02
Gattyana cirrhosa,4.15E-02
Glycera,1.30E-02
Glycinde nordmanni,2.82E-03
Glyphohesione klatti,4.65E-04
Goneplax rhomboides,3.35E-01
Goniada maculata,2.13E-03
Goniadella bobretzkii,3.63E-04
Goodallia triangularis,1.88E-04
Gouldia minima,1.38E-03
Grania vikinga,1.00E-03
Gyge branchialis,1.27E-02
Gyptis,7.92E-04
Haplotaxida,3.12E-04
Harmothoe,2.01E-03
Harpinia antennaria,2.80E-04
Harpinia crenulata,3.01E-04
Harpinia laevis,3.00E-04
Harpinia pectinata,2.91E-04
Haustorius arenarius,3.00E-04
Hediste diversicolor,1.63E-01
Hemilepton nitidum,6.70E-05
Hesionura elongata,9.24E-05
Heteromastus filiformis,4.84E-04
Heteromysis microps,1.47E-03
Hiatella arctica,8.74E-03
Hippomedon denticulatus,5.55E-04
Holothuriidae,2.80E-03
Hyala vitrea,5.52E-04
Hydrozoa,5.08E-03
Hypereteone foliosa,2.84E-03
Hyperiidae,2.51E-04
Idotea linearis,1.00E-04
Ione thoracica,1.05E-03
Iphimedia obesa,2.99E-04
Iphinoe trispinosa,4.06E-04
Jassa marmorata,3.00E-04
Kellia suborbicularis,3.88E-03
Kurtiella bidentata,3.62E-04
Labidoplax buskii,3.73E-02
Lagis koreni,1.39E-02
Lamprops fasciata,2.50E-04
Lanice conchilega,2.90E-02
Laonice bahusiensis,1.55E-03
Laonice cirrata,4.61E-03
Lepidepecreum longicornis,2.98E-04
Lepidonotus squamatus,3.69E-03
Lepton squamosum,2.42E-03
Leptopentacta elongata,1.18E-01
Leptosynapta inhaerens,4.58E-02
Leucothoe incisa,3.39E-04
Leucothoe lilljeborgi,2.83E-04
Leucothoe procera,3.88E-04
Leucothoe richiardii,3.01E-04
Leucothoe spinicarpa,3.00E-04
Levinsenia gracilis,1.82E-04
Liocarcinus,5.10E-01
Lucinoma borealis,5.21E-02
Lumbrineris cingulata,1.70E-03
Lumbrineris latreilli,2.42E-03
Lumbrineris pseudofragilis,1.54E-03
Lutraria lutraria,5.84E+00
Lysilla loveni,6.39E-02
Lysippe,1.00E-04
Macoma balthica,1.25E-02
Mactra stultorum,1.19E-02
Magelona alleni,5.12E-03
Magelona filiformis,5.30E-04
Magelona johnstoni,2.51E-03
Magelona mirabilis,4.21E-03
Magelona papillicornis,1.48E-03
Malacoceros fuliginosus,1.31E-01
Maldanidae,2.15E-02
Malmgrenia andreapolis,1.30E-03
Malmgreniella castanea,1.30E-03
Malmgreniella darbouxi,3.26E-03
Malmgreniella glabra,1.51E-02
Malmgreniella ljungmani,2.60E-03
Malmgreniella lunulata,2.92E-03
Malmgreniella marphysae,2.28E-03
Malmgreniella mcintoshi,3.63E-03
Medicorophium affine,2.55E-04
Mediomastus fragilis,5.08E-04
Megaluropus agilis,2.95E-04
Mesopodopsis slabberi,1.00E-03
Metopa alderi,1.27E-01
Metopa borealis,3.01E-04
Microphthalmus,1.21E-04
Microprotopus maculatus,3.14E-04
Mimachlamys,2.49E-04
Modiolus,1.52E-04
Moerella pygmaea,8.45E-04
Monocorophium insidiosum,2.99E-04
Monopseudocuma gilsoni,1.97E-04
Musculus,1.46E-02
Mya arenaria,3.08E-05
Mya truncata,8.05E-01
Myriochele danielsseni,6.09E-04
Myrtea spinifera,2.71E-04
Mysia undata,7.18E-03
Mytilus,2.52E-04
Nassarius reticulatus,3.56E-01
Natatolana borealis,4.26E-02
Natica,2.19E-04
Nebalia bipes,4.76E-04
Nematoda,3.92E-04
Nemertea,9.28E-03
Nephrops norvegicus,4.66E+00
Nephtys,2.00E-02
Nereis,5.31E-04
Notomastus latericeus,3.21E-02
Nototropis falcatus,3.21E-04
Nototropis swammerdami,3.07E-04
Nucula nitidosa,2.69E-03
Nucula nucleus,1.71E-03
Odostomia,4.67E-04
Ondina divisa,7.49E-04
Ophelia limacina,3.86E-03
Ophelia rathkei,2.15E-03
Ophelina acuminata,5.52E-03
Ophiura,1.36E-02
Orbinia sertulata,5.43E-02
Orchomene,3.29E-04
Orchomenella nana,2.91E-04
Owenia fusiformis,3.74E-03
Oxydromus flexuosus,3.44E-03
Paguridae,3.81E-01
Paraonis fulgens,5.75E-04
Parthenopea subterranea,1.00E-05
Pectinaria,2.86E-03
Peringia ulvae,2.00E-04
Perioculodes longimanus,2.98E-04
Pestarella tyrrhena,9.11E-02
Petalosarsia declivis,5.00E-04
Petricolaria pholadiformis,7.50E-01
Phaxas pellucidus,6.81E-03
Pherusa plumosa,9.70E-03
Philine,1.66E-04
Philocheras bispinosus,3.10E-03
Philocheras trispinosus,2.42E-02
Pholoe baltica,3.39E-04
Pholoe minuta,7.08E-04
Phoronida,4.90E-04
Photis longicaudata,3.00E-04
Phyllodoce,4.08E-03
Pisione remota,2.60E-04
Platyhelminthes,2.82E-03
Podarkeopsis capensis,9.47E-04
Podarkeopsis helgolandicus,8.52E-04
Poecilochaetus serpens,1.11E-03
Polycirrus,2.44E-03
Polydora,5.01E-04
Polygordius appendiculatus,4.87E-04
Polynoe kinbergi,1.22E-02
Polyphysia crassa,8.42E-02
Polyplacophora,4.53E-04
Pontocrates altamarinus,2.86E-04
Pontocrates arcticus,2.26E-04
Pontocrates arenarius,3.01E-04
Portumnus latipes,4.10E-03
Potamopyrgus antipodarum,5.00E-06
Priapulida,3.13E-01
Prionospio,4.00E-04
Processa edulis,1.08E-02
Processa modica,8.45E-03
Processa nouveli,2.12E-02
Processa parva,1.75E-02
Propebela turricula,6.93E-04
Protodorvillea kefersteini,9.27E-05
Psammechinus miliaris,6.89E-02
Pseudione borealis,1.05E-03
Pseudione hyndmanni,6.60E-04
Pseudocuma longicorne,2.67E-04
Pseudocuma simile,2.27E-04
Pseudopolydora pulchra,1.32E-03
Pygospio elegans,5.67E-05
Roxania utriculus,8.91E-04
Sabella spallanzanii,4.75E-03
Saxicavella jeffreysi,1.68E-03
Scalibregma inflatum,2.76E-03
Scaphander lignarius,9.98E-04
Schistomysis,1.00E-03
Scolelepis bonnieri,1.14E-02
Scolelepis foliosa,1.64E-03
Scolelepis squamata,8.56E-03
Scoletoma fragilis,1.25E-03
Scoletoma tetraura,4.62E-03
Scoloplos armiger,2.96E-03
Scopelocheirus hopei,3.24E-04
Sigalion mathildae,1.73E-02
Siphonoecetes kroyeranus,2.98E-04
Sipuncula,1.18E-02
Solenogastres,4.16E-03
Sosane,1.98E-04
Sphaerodoridium,1.60E-05
Sphaerodorum gracilis,5.12E-04
Sphenia binghami,4.46E-04
Spio decoratus,3.02E-04
Spio filicornis,5.64E-04
Spio goniocephala,3.61E-04
Spio martinensis,4.82E-04
Spiophanes bombyx,1.11E-03
Spiophanes kroyeri,1.60E-03
Spio symphyta,7.32E-04
Spirobranchus triqueter,1.30E-05
Spisula elliptica,1.19E-02
Spisula solida,1.05E-01
Spisula subtruncata,2.47E-02
Stenula rubrovittata,2.98E-04
Sthenelais boa,1.93E-02
Sthenelais limicola,4.78E-03
Streblospio shrubsolii,1.13E-04
Striarca lactea,1.11E-03
Syllidae,2.29E-04
Synchelidium haplocheles,2.98E-04
Synchelidium maculatum,3.01E-04
Tanaidacea,3.35E-04
Tellimya ferruginosa,8.45E-04
Tellimya tenella,4.72E-04
Tellina fabula,7.51E-03
Tellina tenuis,1.55E-02
Terebellides stroemii,1.10E-02
Thelepus cincinnatus,6.63E-04
Thia scutellata,3.50E-02
Thracia convexa,1.25E-01
Thracia phaseolina,5.71E-03
Thracia pubescens,1.71E+00
Thyasira flexuosa,1.28E-03
Tornus subcarinatus,3.83E-04
Travisia forbesii,1.79E-02
Trichobranchus roseus,6.74E-03
Triticella flava,8.74E-05
Tryphosella sarsi,3.80E-04
Tryphosites longipes,2.99E-04
Turbonilla lactea,4.04E-04
Turbonilla pusilla,1.16E-03
Turritella communis,8.45E-02
Unciola planipes,3.00E-04
Upogebia deltaura,2.86E-01
Upogebia stellata,7.85E-02
Urothoe brevicornis,3.44E-04
Urothoe elegans,2.85E-04
Urothoe marina,3.01E-04
Urothoe poseidonis,2.88E-04
Venerupis corrugata,3.85E-01
Venus,6.49E-05
Vitreolina antiflexa,1.06E-03
Westwoodilla caecula,3.14E-04
