phy,cla,ord,fam,gen,taxon,Motility,Body size,Burrowing depth,Morphology,Mobility,Mixing type,Mixing rate,Mi,Mi2,Ri,Morphology 2,Morphology 2,Body size 2,Burrowing depth 2,Mixing rate 2
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce laminosa,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce longipes,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce maculata,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce mucosa,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce rosea,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce subulifera,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalion,Sigalion mathildae,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,3,5,45
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris,Crawler,>20cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,5,3,45
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris hibernica,Crawler,>20cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,5,3,45
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris latreilli,Crawler,>20cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,5,3,45
Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris tetraura,Crawler,>20cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,5,3,45
Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma fragilis,Crawler,>20cm,5-10cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,5,3,45
Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Bathyporeia,Bathyporeia sarsi,Crawler-Swimmer,<1cm,5-10cm,Articulated,Intermediate,Surface mixing,Low,3,3,2,4,5,1,3,45
Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,Aphrodita aculeata,Crawler,10-20cm,0-5cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,2,2,4,2,48
Echinodermata,Echinoidea,Clypeasteroida,Echinocyamidae,Echinocyamus,Echinocyamus pusillus,Crawler,1-3cm,0-5cm,Globular,Intermediate,Surface mixing,Low,3,3,2,3,4,2,2,48
Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Buccinum undatum,Crawler,3-10cm,0cm,Globular,High,Surface mixing,Low,4,4,2,3,4,3,1,48
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys hombergii,Crawler-Swimmer,10-20cm,10-15cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,4,4,48
Annelida,Polychaeta,,Orbiniidae,Scoloplos,Scoloplos armiger,Crawler,10-20cm,10-15cm,Cylindrical,Intermediate,Diffusion,Low,3,3,4,1,1,4,4,48
Mollusca,Bivalvia,Veneroida,Veneridae,Dosinia,Dosinia lupinus,Crawler,3-10cm,10-15cm,Bivalved,Low,Surface mixing,Low,2,2,2,2,2,3,4,48
Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya truncata,Crawler,3-10cm,10-15cm,Bivalved,Low,Surface mixing,Low,2,2,2,2,2,3,4,48
Mollusca,Bivalvia,Anomalodesmata,Thraciidae,Thracia,Thracia convexa,Crawler,3-10cm,10-15cm,Bivalved,Low,Downward conveying,Low,2,2,3,2,2,3,4,48
Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,Modiolus barbatus,Crawler,10-20cm,5-10cm,Bivalved,Low,Surface mixing,Low,2,2,2,2,2,4,3,48
Annelida,Polychaeta,,Capitellidae,Notomastus,Notomastus latericeus,Crawler,>20cm,15-30cm,Cylindrical,Low,Upward conveying,Intermediate,2,2,3,1,1,5,5,50
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera alba,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera celtica,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera lapidum,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera oxycephala,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera rouxii,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera tridactyla,Crawler-Swimmer,3-10cm,>30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,3,6,54
Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais,Aporrhais pespelecani,Crawler,3-10cm,0cm,Globular,Intermediate,Surface mixing,Intermediate,3,3,2,5,6,3,1,54
Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,Cheirocratus,Cheirocratus sundevalli,Crawler-Swimmer,1-3cm,0-5cm,Articulated,Intermediate,Surface mixing,Intermediate,3,3,2,4,5,2,2,60
Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,Gastrosaccus spinifer,Crawler-Swimmer,1-3cm,0-5cm,Articulated,Intermediate,Surface mixing,Intermediate,3,3,2,4,5,2,2,60
Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,Urothoe brevicornis,Crawler-Swimmer,<1cm,10-15cm,Articulated,Intermediate,Surface mixing,Intermediate,3,3,2,4,5,1,4,60
Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,Urothoe marina,Crawler-Swimmer,<1cm,10-15cm,Articulated,Intermediate,Surface mixing,Intermediate,3,3,2,4,5,1,4,60
Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,Urothoe poseidonis,Crawler-Swimmer,<1cm,10-15cm,Articulated,Intermediate,Surface mixing,Intermediate,3,3,2,4,5,1,4,60
Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,Urothoe pulchella,Crawler-Swimmer,<1cm,10-15cm,Articulated,Intermediate,Surface mixing,Intermediate,3,3,2,4,5,1,4,60
Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice pennata,Crawler,10-20cm,15-30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,4,5,60
Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,Marphysa bellii,Crawler,10-20cm,15-30cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,1,1,4,5,60
Mollusca,Bivalvia,Lucinoida,Lucinidae,Lucinoma,Lucinoma borealis,Crawler,3-10cm,15-30cm,Bivalved,Low,Surface mixing,Intermediate,2,2,2,2,2,3,5,60
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,Corophium,Crawler-Swimmer,<1cm,5-10cm,Articulated,High,Surface mixing,Intermediate,4,4,2,4,5,1,3,60
Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,Amphipholis squamata,Crawler,3-10cm,0cm,Stellar,Intermediate,Diffusion,Intermediate,3,3,4,5,7,3,1,63
Mollusca,Bivalvia,Veneroida,Arcticidae,Arctica,Arctica islandica,Crawler,10-20cm,10-15cm,Bivalved,Low,Surface mixing,Intermediate,2,2,2,2,2,4,4,64
Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,Modiolus modiolus,Crawler,10-20cm,10-15cm,Bivalved,Low,Surface mixing,Intermediate,2,2,2,2,2,4,4,64
Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis foliosa,Crawler,10-20cm,10-15cm,Cylindrical,Low,D/U conveying,Intermediate,2,2,3,2,2,4,4,64
Annelida,Polychaeta,,Scalibregmatidae,Scalibregma,Scalibregma inflatum,Crawler,3-10cm,>30cm,Cylindrical,High,Diffusion,Intermediate,4,4,4,1,1,3,6,72
Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,Euspira catena,Crawler,3-10cm,0-5cm,Globular,Intermediate,Surface mixing,Intermediate,3,3,2,3,4,3,2,72
Mollusca,Gastropoda,Caenogastropoda,Turritellidae,Turritella,Turritella communis,Crawler,3-10cm,0-5cm,Globular,Intermediate,Diffusion,Intermediate,3,3,4,3,4,3,2,72
Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,Malmgreniella lunulata,Crawler,3-10cm,10-15cm,Cylindrical,Intermediate,Diffusion,Intermediate,3,3,4,2,2,3,4,72
Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,Modiolus,Crawler,10-20cm,5-10cm,Bivalved,Intermediate,Surface mixing,Intermediate,3,3,2,2,2,4,3,72
Mollusca,Gastropoda,Gastropoda,Acteonidae,Acteon,Acteon tornatilis,Crawler,1-3cm,5-10cm,Globular,Intermediate,Surface mixing,Intermediate,3,3,2,3,4,2,3,72
Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,Marphysa sanguinea,Crawler,>20cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,1,1,5,5,75
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys ciliata,Crawler-Swimmer,>20cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,1,1,5,5,75
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys longosetosa,Crawler-Swimmer,>20cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,1,1,5,5,75
Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,Nephtys paradoxa,Crawler-Swimmer,>20cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,1,1,5,5,75
Annelida,Polychaeta,Phyllodocida,Nereididae,Eunereis,Eunereis longissima,Crawler,10-20cm,15-30cm,Cylindrical,High,Diffusion,High,4,4,4,1,1,4,5,80
Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis,Crawler-Swimmer,10-20cm,15-30cm,Cylindrical,High,Diffusion,High,4,4,4,1,1,4,5,80
Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis zonata,Crawler-Swimmer,10-20cm,15-30cm,Cylindrical,High,Diffusion,High,4,4,4,1,1,4,5,80
Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya,Crawler,10-20cm,15-30cm,Bivalved,Low,Surface mixing,High,2,2,2,2,2,4,5,80
Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya arenaria,Crawler,10-20cm,15-30cm,Bivalved,Low,Surface mixing,High,2,2,2,2,2,4,5,80
Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiocten,Ophiocten affinis,Crawler-Swimmer,3-10cm,0-5cm,Stellar,Low,Surface mixing,High,2,2,2,5,7,3,2,84
Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,Ophiura albida,Crawler,3-10cm,0-5cm,Stellar,Low,Surface mixing,High,2,2,2,5,7,3,2,84
Echinodermata,Ophiuroidea,,,,Ophiuroidea,Crawler-Swimmer,3-10cm,0-5cm,Stellar,Low,Surface mixing,High,2,2,2,5,7,3,2,84
Echinodermata,Ophiuroidea,Ophiurida,Ophiotrichidae,Ophiothrix,Ophiothrix fragilis,Crawler,10-20cm,0cm,Stellar,Intermediate,Surface mixing,High,3,3,2,5,7,4,1,84
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bylgides,Bylgides sarsi,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,2,2,3,5,90
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,2,2,3,5,90
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe antilopes,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,2,2,3,5,90
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe fragilis,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,2,2,3,5,90
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe glabra,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,2,2,3,5,90
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce lineata,Crawler,3-10cm,15-30cm,Cylindrical,Intermediate,Diffusion,High,3,3,4,2,2,3,5,90
Mollusca,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Ensis,Crawler,10-20cm,>30cm,Bivalved,Low,Surface mixing,High,2,2,2,2,2,4,6,96
Echinodermata,Asteroidea,Velatida,Solasteridae,Crossaster,Crossaster papposus,Crawler,>20cm,0cm,Stellar,Intermediate,Surface mixing,Very high,3,3,1,5,7,5,1,105
Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,Echinocardium flavescens,Crawler,3-10cm,5-10cm,Globular,Intermediate,Diffusion,Very high,3,3,4,3,4,3,3,108
Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,Echinocardium pennatifidum,Crawler,3-10cm,5-10cm,Globular,Intermediate,Diffusion,Very high,3,3,4,3,4,3,3,108
Arthropoda,Malacostraca,Decapoda,Corystidae,Corystes,Corystes cassivelaunus,Crawler,3-10cm,0-5cm,Articulated,High,Regeneration,Very high,4,4,5,4,5,3,2,120
Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,Liocarcinus depurator,Crawler-Swimmer,3-10cm,0-5cm,Articulated,High,Regeneration,Very high,4,4,5,4,5,3,2,120
Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,Liocarcinus holsatus,Crawler-Swimmer,3-10cm,0-5cm,Articulated,High,Regeneration,Very high,4,4,5,4,5,3,2,120
Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,Liocarcinus marmoreus,Crawler-Swimmer,3-10cm,0-5cm,Articulated,High,Regeneration,Very high,4,4,5,4,5,3,2,120
Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,Liocarcinus pusillus,Crawler-Swimmer,3-10cm,0-5cm,Articulated,High,Regeneration,Very high,4,4,5,4,5,3,2,120
Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius,Haustorius arenarius,Crawler-Swimmer,1-3cm,10-15cm,Articulated,Intermediate,Surface mixing,Very high,3,3,2,4,5,2,4,120
Echinodermata,Echinoidea,Spatangoida,Brissidae,Brissopsis,Brissopsis lyrifera,Crawler,3-10cm,0-5cm,Stellar,Intermediate,Diffusion,Very high,3,3,4,5,7,3,2,126
Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,Echinocardium cordatum,Crawler,3-10cm,10-15cm,Globular,Intermediate,Diffusion,Very high,3,3,4,3,4,3,4,144
Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Acrocnida,Acrocnida brachiata,Crawler,>20cm,0-5cm,Stellar,Intermediate,Diffusion,Very high,3,3,4,5,7,5,2,210
Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiura,Amphiura chiajei,Crawler,>20cm,5-10cm,Stellar,Intermediate,Diffusion,Very high,3,3,4,5,7,5,3,315
Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiura,Amphiura filiformis,Crawler,>20cm,5-10cm,Stellar,Intermediate,Diffusion,Very high,3,3,4,5,7,5,3,315
Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,Callianassa subterranea,Crawler,3-10cm,>30cm,Articulated,High,Downward conveying,Very high,4,4,4,4,5,3,6,360
Arthropoda,Malacostraca,Decapoda,Callianassidae,Pestarella,Pestarella tyrrhena,Crawler,3-10cm,>30cm,Articulated,High,Diffusion,Very high,4,4,4,4,5,3,6,360
Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,Upogebia deltaura,Crawler,3-10cm,>30cm,Articulated,High,Downward conveying,Very high,4,4,3,4,5,3,6,360
Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,Upogebia stellata,Crawler,3-10cm,>30cm,Articulated,High,Downward conveying,Very high,4,4,3,4,5,3,6,360
Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Crawler,>20cm,15-30cm,Articulated,High,Diffusion,Very high,4,4,4,4,5,5,5,500
