"","tax","mw","gmw","n"
"1","Abludomelita obtusata",0.000300203618176463,0.00030020107034078,12
"2","Abra alba",0.00285634366221976,0.00047443543555125,425
"3","Abra nitida",0.00167072112012864,0.000713345076049356,66
"4","Abra prismatica",0.0056885147907734,0.00246353556606033,75
"5","Abra tenuis",5.72000572000572e-05,4.5614722330843e-05,3
"6","Abyssoninoe hibernica",0.00335244816294816,0.00204625237694342,12
"7","Acanthocardia",0.144298761546325,0.000756206879113918,15
"8","Acidostoma obesum",0.000391015490658352,0.000351583009092109,14
"9","Acrocnida brachiata",0.0307556759932414,0.0109911190151963,126
"10","Acteon tornatilis",0.00112720079170079,0.000678130227929726,4
"11","Alitta virens",0.181074615384615,0.181074615384615,1
"12","Altenaeum dawsoni",7.10397359167648e-05,6.69166084860037e-05,9
"13","Alvania lactea",0.00112253453727369,0.00110999281289718,3
"14","Ampelisca brevicornis",0.00353108969242504,0.00066489341995051,127
"15","Ampelisca macrocephala",0.000933333333333327,0.000928317766722549,3
"16","Ampelisca spinipes",0.000300000000000012,0.000300000000000012,1
"17","Ampelisca tenuicornis",0.000295401565339771,0.00028056435490135,171
"18","Ampharete",0.00147699675897384,0.000520664393154575,21
"19","Amphilochus",0.000298200148200154,0.000298194716452342,2
"20","Amphipholis squamata",0.000202333333333326,0.000202333333333326,1
"21","Amphitrite",0.000167457247139557,0.00013498023087318,2
"22","Amphiura chiajei",0.00311052574142624,0.000794680889001322,62
"23","Amphiura filiformis",0.00460396558011548,0.00283599888379331,649
"24","Angulus",0.000163622721028971,9.08268918631768e-05,5
"25","Anobothrus gracilis",0.00125534742968734,0.000560583473459481,2
"26","Anthozoa",0.0905282992338068,0.00493575900372174,342
"27","Antinoella finmarchica",0.013904,0.013904,1
"28","Aonides paucibranchiata",0.000424888416295928,0.000271746569819991,63
"29","Aoridae",0.000276101694982949,0.000263733786281459,9
"30","Aphelochaeta marioni",0.000574897730839802,0.000487030681128792,26
"31","Apherusa",0.000298730975611969,0.000298725463718136,24
"32","Aphrodita",0.226507529633495,0.00184767987104021,49
"33","Apistobranchus tullbergi",0.000596700596700597,0.000562574717686735,2
"34","Aporrhais pespelecani",0.143786923076923,0.143786923076923,1
"35","Arcopagia crassa",0.000343200343200343,0.000343200343200343,1
"36","Arctica islandica",0.108407911199741,0.000197317483243227,91
"37","Argissa hamatipes",0.000271730829263234,0.000248072675061807,54
"38","Aricidea cerrutii",0.000140153817382767,0.000139795406298092,2
"39","Aricidea minuta",0.00050006736130449,0.000267419706162531,181
"40","Aricidea suecica",0.000150562999796336,0.000123156629335289,18
"41","Ascidiacea",0.615116390464924,0.00915898563889299,5
"42","Astarte montagui",0.00247693264433359,0.00018821473628533,3
"43","Asterias",0.284509508977847,0.00439197319478995,22
"44","Astropecten",0.095643762602358,0.00487487753953971,55
"45","Atherospio disticha",0.00030030303030303,0.000146299775856762,3
"46","Atherospio guillei",0.000385521864754602,0.000280818904442438,50
"47","Atylus",0.000197430917430917,0.000170833337449191,2
"48","Balanus crenatus",2.49999999999945e-05,2.49999999999945e-05,1
"49","Bathyporeia elegans",0.000285666395528456,0.000272661790471106,828
"50","Bathyporeia gracilis",0.000300000000000012,0.000300000000000012,1
"51","Bathyporeia guilliamsoniana",0.000371865617311156,0.000336223890754517,529
"52","Bathyporeia nana",0.000114804311634356,9.15227196309631e-05,21
"53","Bathyporeia pelagica",0.000391656857791694,0.000278579497339038,13
"54","Bathyporeia sarsi",0.000300000000000012,0.000300000000000012,1
"55","Bathyporeia tenuipes",0.00028076291970383,0.000265719142873477,124
"56","Bela nebula",0.000998400998400999,0.000998400998400999,1
"57","Bodotria scorpioides",0.000239999999999994,0.000239999999999994,1
"58","Bopyrus squillarum",0.0128622128622129,0.0109264189748126,2
"59","Brada villosa",0.00422460409110409,0.00147805601539645,2
"60","Branchiostoma lanceolatum",0.00332379420625162,0.0010954047305764,53
"61","Brissopsis lyrifera",0.464207257581118,0.280287676754625,39
"62","Buccinum undatum",7.75556900000002,0.073503224510092,3
"63","Bylgides sarsi",0.000464092604092604,0.000407060833999433,4
"64","Callianassa",0.0339499239507295,0.0104053323282639,892
"65","Campylaspis glabra",0.000198422418841052,0.000198422310116342,2
"66","Capitella capitata",0.000549252583454864,0.000330809996881768,144
"67","Caprellidae",0.000242925776795905,0.000226006654659501,78
"68","Carcinus maenas",1.5976677976678,0.1867668147503,5
"69","Caulleriella",0.000399057423953565,0.000270099738407594,24
"70","Chaetognatha",9.99999999999782e-05,9.99999999999782e-05,2
"71","Chaetopterus variopedatus",0.28682804511703,0.203549963203473,157
"72","Chaetozone christiei",0.000457511193647296,0.000176465328689262,203
"73","Chaetozone setosa",0.000684297582256836,0.000454983532691712,519
"74","Chamelea striatula",0.0197580064280741,0.000647144397635467,257
"75","Cheirocratus intermedius",0.000364615384615385,0.000364615384615385,2
"76","Cheirocratus sundevalli",0.000300000000000012,0.000300000000000012,3
"77","Chone",0.00286733472741301,0.00159437068983847,7
"78","Cirolana cranchi",0.0492896588572384,0.0305015926185798,4
"79","Cochlodesma praetenue",0.005836,0.00148355198024314,4
"80","Corbula gibba",0.00113025465907219,0.000510660166442145,524
"81","Corophium",0.000288478557213359,0.000258429458315572,6
"82","Corystes cassivelaunus",0.336340290649339,0.0561360284322399,108
"83","Cossura longocirrata",5.80000000000201e-05,5.80000000000201e-05,1
"84","Crangon crangon",0.0365102122752124,0.00227871553979604,24
"85","Cucumaria",0.108825838205425,0.0725471800297128,5
"86","Cylichna cylindracea",0.00135527128777666,0.000688660108315807,430
"87","Cylichnina umbilicata",0.000748800748800749,0.000705976116312765,2
"88","Devonia perrieri",0.000578317436317436,0.000437227586932468,5
"89","Diastylis bradyi",0.000403020072087387,0.000347224094559622,240
"90","Diastylis laevis",0.000751777777777784,0.000684745927207301,9
"91","Diastylis lucifera",0.000200000000000034,0.000200000000000034,3
"92","Diastylis rathkei",0.000848375733855194,0.000844508055936835,7
"93","Diastylis rugosa",0.000848000000000011,0.000848000000000011,3
"94","Diastylis tumida",0.000200000000000034,0.000200000000000034,2
"95","Diogenes pugilator",0.0115985878337937,0.00469112295926394,17
"96","Diplocirrus glaucus",0.00132313500582496,0.000795263129681066,275
"97","Diplodonta rotundata",0.0450914156916658,0.0428902063048208,4
"98","Dipolydora coeca",0.000198499999999977,0.000189372648500229,2
"99","Donax vittatus",0.0284401123879304,0.00308165771466135,150
"100","Dosinia exoleta",0.0263254665660161,0.00621604018744135,10
"101","Dosinia lupinus",0.0226823724118029,0.00152541393576811,143
"102","Drilonereis filum",0.0917436917436917,0.0917436917436917,1
"103","Dyopedos monacantha",0.000296400296400296,0.000296400296400296,3
"104","Ebalia",0.020867257687735,0.00220376877276291,44
"105","Echinocardium",0.342249194903383,0.0809409243400859,867
"106","Echinocyamus pusillus",0.00103649749233157,0.000263845146322714,146
"107","Echiurus echiurus",0.102184463993702,0.0160729423589563,9
"108","Electra pilosa",9.99999999999782e-05,9.99999999999782e-05,1
"109","Endeis spinosa",0.000296400296400296,0.000296400296400296,1
"110","Enipo kinbergi",0.016201902034704,0.006980516660055,24
"111","Ennucula tenuis",0.000820199070715941,0.000535901390163074,45
"112","Ensis directus",0.787263420880816,0.393170049985476,192
"113","Ensis ensis",0.282674370953593,0.128332727227459,70
"114","Ensis magnus",2.0803575,1.89244668120313,2
"115","Ensis minor",0.228264615384615,0.228264615384615,1
"116","Ensis siliqua",4.098209323925,3.94794758796441,5
"117","Enteropneusta",0.0941916105824657,0.0279290816602012,6
"118","Entoprocta",9.99999999999782e-05,9.99999999999782e-05,1
"119","Eteone barbata",0.00076050076050076,0.000355149630571484,3
"120","Eteone flava",0.000422004848688729,0.000332445423710357,10
"121","Eteone longa",0.000975114407270308,0.000408736801978218,217
"122","Eudorella emarginata",0.000234793536738819,0.000182811886564302,31
"123","Eudorella truncatula",0.000252215841042497,0.000245579951165436,243
"124","Eudorellopsis deformis",0.000312241947815551,0.000276650425771046,71
"125","Eulalia",0.000156261854583772,0.000145812606829055,4
"126","Eulima",0.000224125721041785,0.000165877728795615,13
"127","Eumida bahusiensis",0.000443846153846154,0.000443846153846154,1
"128","Eumida sanguinea",0.00117902322055841,0.000561577743070003,137
"129","Eunereis elittoralis",0.0186131164529915,0.00715939931067487,24
"130","Eunereis longissima",0.0427298960024816,0.00777644886966343,207
"131","Eunoe nodosa",0.00117987987006692,0.000876364082102344,7
"132","Eupolymnia nebulosa",0.000663000663000663,0.000663000663000663,1
"133","Eurydice pulchra",0.000237615913895825,0.000218474556506399,4
"134","Eurydice spinigera",0.00029722855750253,0.000297222829861027,6
"135","Euspira catena",0.126728026728027,0.0835996358565716,3
"136","Euspira nitida",0.00367978561402521,0.0011356349019629,730
"137","Exogone hebes",0.000236765290190769,0.000112977092961754,87
"138","Exogone naidina",0.000228408326416003,8.51041503007555e-05,18
"139","Galathowenia oculata",0.00061491125078412,0.000252914260148025,79
"140","Gammaridae",0.00030051350382596,0.000300512870036736,6
"141","Gammaropsis",0.00030070492550605,0.000300704190329483,2
"142","Gari fervensis",0.0433226081772484,0.00140301925265075,46
"143","Gastrosaccus spinifer",0.00268638621794872,0.0018876266061726,32
"144","Gattyana amondseni",0.0577719999999997,0.0577719999999997,1
"145","Gattyana cirrhosa",0.0435815661588201,0.0273600052008012,112
"146","Glycera",0.0119678770067125,0.00148602430366333,319
"147","Glycinde nordmanni",0.00246149316030852,0.000647600144328536,108
"148","Glyphohesione klatti",0.000461521483525799,0.000292008665068333,266
"149","Goneplax rhomboides",0.335380000000001,0.33537155514444,2
"150","Goniada maculata",0.00207215886451692,0.000918760634839068,656
"151","Goniadella bobretzkii",0.00042383105396804,0.00039146453059114,4
"152","Goodallia triangularis",0.000187758485886777,0.00012740182478635,30
"153","Gouldia minima",0.00138400000000002,0.00138400000000002,1
"154","Grania vikinga",0.00100000000000002,0.00100000000000002,1
"155","Gyge branchialis",0.01268675,0.00295230203926404,4
"156","Gyptis",0.000791700791700792,0.000791700791700792,1
"157","Haplotaxida",0.000314359074514563,0.000130956317441369,64
"158","Harmothoe",0.00212387577421432,0.000659282310875183,145
"159","Harpinia antennaria",0.000270635002686305,0.000252296674989358,545
"160","Harpinia crenulata",0.000251027397260269,0.000228730914064488,4
"161","Harpinia laevis",0.000300000000000012,0.000300000000000012,1
"162","Harpinia pectinata",0.000291430561177969,0.000288285745771339,17
"163","Haustorius arenarius",0.000300000000000012,0.000300000000000012,3
"164","Hediste diversicolor",0.163285363285363,0.158734258376648,2
"165","Hemilepton nitidum",6.69782342695587e-05,6.04593176659447e-05,25
"166","Hesionura elongata",0.00010356133962783,8.03553750593931e-05,25
"167","Heteromastus filiformis",0.00049301466061685,0.000335772313306571,34
"168","Heteromysis microps",0.00128955944055945,0.00123125304609962,11
"169","Hiatella arctica",0.00873990873990874,0.00496091533704591,2
"170","Hippomedon denticulatus",0.000649102890829654,0.000383955539346924,91
"171","Holothuriidae",0.00280234576845789,0.00280234576845789,1
"172","Hyala vitrea",0.000543448559428459,0.00038512299924674,240
"173","Hydrozoa",0.00540476141723921,0.000418213531069697,31
"174","Hypereteone foliosa",0.00291060232555006,0.00150934575746447,40
"175","Hyperiidae",0.000237129291109796,0.00020531302879988,20
"176","Idotea linearis",9.99999999999782e-05,9.99999999999782e-05,1
"177","Ione thoracica",0.00107105002151925,0.000634750436888388,180
"178","Iphimedia obesa",0.000298800098800107,0.00029879526734019,3
"179","Iphinoe trispinosa",0.000397578463553647,0.000341896964613331,79
"180","Jassa marmorata",0.000300000000000012,0.000300000000000012,1
"181","Kellia suborbicularis",0.00388100000000003,0.00388100000000003,1
"182","Kurtiella bidentata",0.000361977805183516,0.00013814749304191,794
"183","Labidoplax buskii",0.0409680516984439,0.0204634080503669,10
"184","Lagis koreni",0.0149211777543724,0.00130881251234964,152
"185","Lamprops fasciata",0.000198630136986301,0.000198630136986301,1
"186","Lanice conchilega",0.0317497966820572,0.00714069828745192,387
"187","Laonice",0.00155387762237764,0.000917461663688092,11
"188","Lepidepecreum longicornis",0.000297977164141551,0.000297970684519149,10
"189","Lepidonotus squamatus",0.00368999999999998,0.00368999999999998,1
"190","Leptognathia",0.000297700102505288,0.000297694443756169,3
"191","Lepton squamosum",0.00267337400796764,0.00106208167901107,52
"192","Leptopentacta elongata",0.129245269967419,0.0372900412283967,26
"193","Leptosynapta inhaerens",0.0443996555152184,0.0229777424231885,39
"194","Leucothoe incisa",0.000338824742782479,0.000314701682206905,253
"195","Leucothoe lilljeborgi",0.000257186300358029,0.000223743487205841,23
"196","Leucothoe procera",0.000388000000000003,0.000387938976897915,4
"197","Leucothoe richiardii",0.000300739545883286,0.000300739545883286,3
"198","Leucothoe spinicarpa",0.000300000000000012,0.000300000000000012,1
"199","Levinsenia gracilis",0.000183562574374315,0.000101421671119683,65
"200","Liocarcinus",0.510292190595243,0.0953143944294634,19
"201","Lucinoma borealis",0.051213344369423,0.0251544321504184,32
"202","Lumbrineris",0.00245051156226328,0.00137997004175121,241
"203","Lutraria lutraria",5.84447298870559,0.335968587640984,5
"204","Lysilla loveni",0.0614408388022145,0.0251571497065885,39
"205","Lysippe",9.99999999999782e-05,9.99999999999782e-05,1
"206","Macoma balthica",0.013852577881642,0.00660014848647189,76
"207","Mactra stultorum",0.00819269951031781,0.000413360241091711,57
"208","Magelona alleni",0.0047994058203709,0.00215648543257602,176
"209","Magelona filiformis",0.000518719597274145,0.000158683070668577,277
"210","Magelona johnstoni",0.0025134700077822,0.00116316124754544,510
"211","Magelona mirabilis",0.00389931865944775,0.00152702428924884,65
"212","Magelona papillicornis",0.0014662157573083,0.000899252095038755,600
"213","Malacoceros fuliginosus",0.130946530946531,0.130946530946531,1
"214","Maldanidae",0.0214605638553771,0.00361843878898587,40
"215","Malmgrenia andreapolis",0.00130000000000003,0.00130000000000003,2
"216","Malmgreniella andreapolis",0.00167615384615385,0.00167615384615385,1
"217","Malmgreniella castanea",0.00130000000000003,0.00130000000000003,1
"218","Malmgreniella darbouxi",0.00270188879591093,0.00154335135788229,38
"219","Malmgreniella glabra",0.01514475,0.000469904311939454,4
"220","Malmgreniella ljungmani",0.0025960272732073,0.000751652093678828,11
"221","Malmgreniella lunulata",0.00320852261746535,0.00140413935221124,122
"222","Malmgreniella marphysae",0.00228175905198465,0.00104361865548785,35
"223","Malmgreniella mcintoshi",0.00362933333333334,0.000394277785157255,3
"224","Medicorophium affine",0.000255318216672869,0.000252210626814863,8
"225","Mediomastus fragilis",0.000485057817799305,0.000242203431126183,187
"226","Megaluropus agilis",0.000278375675904038,0.000264458205387798,278
"227","Mesopodopsis slabberi",0.00100000000000002,0.00100000000000002,1
"228","Metopa borealis",0.000300739545883286,0.000300739545883286,1
"229","Microphthalmus",0.000167749777923232,0.000101418247143746,2
"230","Microprotopus maculatus",0.000272204156095092,0.000259883147435173,9
"231","Mimachlamys",0.000314031748800574,0.000255245262572509,3
"232","Modiolus",0.000151965121143203,0.000131875076881261,4
"233","Moerella pygmaea",0.000904133236177113,0.000645493345724659,62
"234","Monocorophium insidiosum",0.000298925908294065,0.000298921285527866,21
"235","Monopseudocuma gilsoni",0.000127626515023715,8.20026016441351e-05,22
"236","Musculus",0.0145839295531076,0.00239878342468541,2
"237","Mya arenaria",3.07499999999985e-05,3.07499999999985e-05,1
"238","Mya truncata",0.805068513499207,0.00192733790247164,22
"239","Myrianida",9.0318493150689e-05,8.10673658645711e-05,2
"240","Myriochele danielsseni",0.000608651596851014,0.000337326499317529,29
"241","Myrtea spinifera",0.000270915240093322,0.000261093721072778,2
"242","Mysia undata",0.00865272862425434,0.000776509505474181,76
"243","Mytilus edulis",0.000301954679150982,0.000301954679150983,1
"244","Nassarius reticulatus",0.293646605769231,0.0482323750614291,12
"245","Natatolana borealis",0.0370990954854196,0.0247195226958626,26
"246","Natica",0.000219178082191781,0.000219178082191781,1
"247","Nebalia bipes",0.00047606738264196,0.00032791794387009,9
"248","Nematoda",0.000392424739464406,0.000182839574906238,34
"249","Nemertea",0.0103719882089122,0.00213917294588371,1173
"250","Nephrops norvegicus",4.66485706485707,4.66181470894923,2
"251","Nephtys",0.0206202458370427,0.00432514740600266,2616
"252","Nereis",0.000399952566926854,0.000307942136931892,3
"253","Notomastus latericeus",0.0315588397307564,0.0141342514862915,477
"254","Nototropis falcatus",0.000312047597021137,0.000302834211622162,73
"255","Nototropis swammerdamei",7.07894736842105e-05,7.07894736842106e-05,1
"256","Nototropis swammerdami",0.000295315456100037,0.00029348779608792,76
"257","Nucula nitidosa",0.00262243568201801,0.00129512896699928,573
"258","Nucula nucleus",0.00171460840271764,0.00170437726022474,4
"259","Odostomia",0.000467000234000235,0.000466999162834602,2
"260","Ondina divisa",0.000748800748800749,0.000705976116312765,2
"261","Ophelia",0.00368446721324126,0.00109719701947039,192
"262","Opheliidae",0.00663053290238969,0.0014772764261956,123
"263","Ophiura",0.0157507141164498,0.0010098649781028,550
"264","Orbinia sertulata",0.0512958588290716,0.0125578459907492,27
"265","Orchomene",0.000329292858840359,0.000318247850745451,15
"266","Orchomenella nana",0.000287958607373562,0.000283624797203846,104
"267","Owenia fusiformis",0.00408039117278048,0.00164037993093402,266
"268","Oxydromus flexuosus",0.00355028391696701,0.00227809341553982,358
"269","Pagurus bernhardus",0.381318494507494,0.113313305734277,6
"270","Paraonis fulgens",0.000587915987141398,0.000451462832055681,91
"271","Parthenopea subterranea",9.99999999999002e-06,9.99999999999001e-06,1
"272","Pectinaria",0.0027051487617257,0.000697570042042987,161
"273","Peringia ulvae",0.000129843175048186,0.000108963930964656,2
"274","Perioculodes longimanus",0.000286325616977047,0.000274669764506623,288
"275","Pestarella tyrrhena",0.0895135090152382,0.0198046518575802,41
"276","Petricolaria pholadiformis",1.01374255961156,0.455827745243018,2
"277","Phaxas pellucidus",0.00714809562324148,0.00139480896774684,214
"278","Pherusa plumosa",0.0097032097032097,0.00970320970320971,1
"279","Philine",0.000165970157816187,0.000158400547378281,6
"280","Philocheras bispinosus",0.0030992030992031,0.00179310446722671,3
"281","Philocheras trispinosus",0.0241891784173784,0.00544611542956661,5
"282","Pholoe baltica",0.000310842564473633,8.84955642702486e-05,83
"283","Pholoe inornata",0.000246538461538462,0.000246538461538462,1
"284","Pholoe minuta",0.000730912160267145,0.000299035915329573,392
"285","Phoronis",0.00049809775010403,0.000329335832034157,922
"286","Photis longicaudata",0.000300342543842813,0.000300342281457925,2
"287","Phyllodoce",0.00448048954656255,0.000909334833907062,275
"288","Pisione remota",0.000336113820536512,0.000196745463443509,5
"289","Platyhelminthes",0.00279819924740471,0.000690258668871867,143
"290","Podarkeopsis capensis",0.000933947871513971,0.000691299787531511,245
"291","Podarkeopsis helgolandicus",0.000852191669863774,0.000260934071360072,128
"292","Poecilochaetus serpens",0.0011107491377512,0.000578414148654898,350
"293","Polycirrus",0.0198081405738539,0.00288897277634371,5
"294","Polydora",0.000500421211114626,0.000407733973570577,78
"295","Polygordius appendiculatus",0.000487333333333341,0.000376140527674315,3
"296","Polynoe kinbergi",0.0125633561643836,0.00541935011118074,4
"297","Polyphysia crassa",0.0841725762353264,0.0321373918817725,4
"298","Polyplacophora",0.000453245050573106,0.000451233246188396,3
"299","Pontocrates altamarinus",0.000275068667427415,0.000258562302224718,138
"300","Pontocrates arcticus",0.000223985576923061,0.00019167760713756,40
"301","Pontocrates arenarius",0.000202332299106267,0.000174549103522685,6
"302","Portumnus latipes",0.00591076923076925,0.00562657157532969,2
"303","Potamopyrgus antipodarum",5.00000000000001e-06,5.00000000000001e-06,1
"304","Priapulida",0.00191780821917808,0.00191658473693606,2
"305","Prionospio",0.000392958990483408,0.000189982961008246,105
"306","Processa edulis",0.0108251108251108,0.0108147063610451,2
"307","Processa modica",0.0087832097902098,0.00193613184709862,11
"308","Processa nouveli",0.0211809536738109,0.0177857194433063,17
"309","Processa parva",0.0175215630970308,0.015878845447044,31
"310","Propebela turricula",0.000627429004214961,0.000379996637020416,8
"311","Protodorvillea kefersteini",5.42465753424653e-05,5.23423922590207e-05,2
"312","Pseudione borealis",0.00104350502233166,0.000638172324970705,78
"313","Pseudione hyndmanni",0.000659999999999965,0.000659999999999965,1
"314","Pseudocuma longicorne",0.000250056536103573,0.000239928105072896,378
"315","Pseudocuma simile",0.000183273660945466,0.000168609804287653,48
"316","Pseudopolydora pulchra",0.00132155436027131,0.000704344193924663,3
"317","Pygospio elegans",0.000160769230769227,7.41784807615713e-05,4
"318","Roxania utriculus",0.000891300222300217,0.000771281657292193,2
"319","Sabella spallanzanii",0.00475020475020475,0.00475020475020475,1
"320","Saxicavella jeffreysi",0.00168463919438988,0.000885634754789037,10
"321","Scalibregma inflatum",0.00281128073115271,0.0010523998990317,52
"322","Scaphander lignarius",0.000998400998400999,0.000998400998400999,2
"323","Schistomysis",0.000943406593406602,0.000858899441551852,7
"324","Scolelepis bonnieri",0.0115695542629565,0.00637423350373653,223
"325","Scolelepis foliosa",0.0016397927463762,0.000534025578781691,6
"326","Scolelepis korsuni",0.00245538461538462,0.00245538461538461,1
"327","Scolelepis squamata",0.00838147298347969,0.00479776554575668,51
"328","Scoletoma fragilis",0.00124874706802275,0.000733885130852747,18
"329","Scoletoma tetraura",0.00462,0.00333004297347546,6
"330","Scoloplos armiger",0.00289617288518091,0.00147355246994496,779
"331","Scopelocheirus hopei",0.000299385927671638,0.00029937980988958,7
"332","Sigalion mathildae",0.0173583157962383,0.00807929836356474,360
"333","Siphonoecetes kroyeranus",0.000300894774884223,0.000281395059746819,81
"334","Sipuncula",0.0112822230380705,0.0029168468428413,211
"335","Solenogastres",0.00415776056579261,0.00173286311952522,29
"336","Sosane",0.000197952218430034,0.000197952218430034,1
"337","Sphaerodoridium",1.600000000001e-05,1.600000000001e-05,1
"338","Sphaerodorum gracilis",0.000511652557023218,0.00047376029487634,4
"339","Sphaerosyllis",0.000162518007294737,0.000128866564821085,5
"340","Sphenia binghami",0.000446000000000019,0.000427535963399596,2
"341","Spio decoratus",0.000329055892383478,0.000199663026855151,29
"342","Spio filicornis",0.000582552433147913,0.000397691280277465,507
"343","Spio goniocephala",0.000362598580586077,0.000263780583292828,48
"344","Spio martinensis",0.000467883544339013,0.00023159293624182,44
"345","Spio symphyta",0.000623125267094021,0.000434034580180431,24
"346","Spiophanes bombyx",0.00112756221309536,0.000679541680623544,1113
"347","Spiophanes kroyeri",0.00155472698341199,0.000636546631335624,69
"348","Spirobranchus triqueter",1.3000000000026e-05,1.3000000000026e-05,1
"349","Spisula elliptica",0.0125471487437506,0.00106418085595033,26
"350","Spisula solida",0.105199874519541,0.0543835804754528,9
"351","Spisula subtruncata",0.0246920918296276,0.00394135711701493,162
"352","Stenula rubrovittata",0.000297827988032999,0.000297821165853618,3
"353","Sthenelais boa",0.0244799234678319,0.00159455397069046,6
"354","Sthenelais limicola",0.00492592997802625,0.00223860127844557,326
"355","Streblospio shrubsolii",0.000113333333333324,0.000108576704663787,3
"356","Streptodonta pterochaeta",0.000152825091575083,6.01539207104036e-05,7
"357","Streptosyllis websteri",0.000134246563968001,0.00011239980200235,14
"358","Striarca lactea",0.00246023151023151,0.000848391118235902,3
"359","Syllis gracilis",0.000462914793080544,0.000386952673563193,4
"360","Synchelidium haplocheles",0.000298100198861213,0.000298092861579307,10
"361","Synchelidium maculatum",0.000296810391782317,0.00029649355581722,133
"362","Tanaissus lilljeborgi",0.000518999999999989,0.000305455737214443,3
"363","Tanaopsis graciloides",0.000283333333333349,0.000278315768371393,4
"364","Tellimya ferruginosa",0.000849567753528214,0.000616231718355023,613
"365","Tellimya tenella",0.000452791507794492,0.000308065361730896,18
"366","Tellina fabula",0.00727668371127062,0.0014243277760225,614
"367","Tellina tenuis",0.0141781906020085,0.00231899990341914,45
"368","Terebellides stroemii",0.0110298270766826,0.00166160925453736,44
"369","Tharyx",0.000197448285678138,0.000182093989685975,4
"370","Thelepus cincinnatus",0.000663000663000663,0.000663000663000663,1
"371","Thia scutellata",0.0373800288796038,0.0173028043862266,60
"372","Thoracophelia flabellifera",6.50101214574899e-05,6.47527217942002e-05,2
"373","Thracia convexa",0.11394823120558,0.0094548333856775,16
"374","Thracia phaseolina",0.00555664800052072,0.000308337376493949,228
"375","Thracia pubescens",1.705495,1.705495,1
"376","Thyasira flexuosa",0.00123435312424304,0.000637215177530461,190
"377","Tornus subcarinatus",0.000383352059370674,0.00032865016103239,11
"378","Trichobranchus roseus",0.00673799999999998,0.00673799999999998,1
"379","Triticella flava",8.7418181818174e-05,2.86454512710459e-05,11
"380","Tryphosites longipes",0.00060796941141091,0.000430206739358755,5
"381","Turbonilla lactea",0.000404109589041096,0.000404109589041096,1
"382","Turbonilla pusilla",0.00116073823010551,0.00113865852900181,4
"383","Turritella communis",0.072134459232212,0.0103009337997918,57
"384","Unciola planipes",0.000299526325124765,0.000299520119946439,8
"385","Upogebia deltaura",0.297518740245187,0.106303801458213,144
"386","Upogebia stellata",0.0802235835782071,0.0457577662790838,32
"387","Urothoe brevicornis",0.000353226978724291,0.000323368056811983,344
"388","Urothoe elegans",0.000284861869175874,0.000277603994658671,30
"389","Urothoe marina",0.000300499999999993,0.000300499999999993,1
"390","Urothoe poseidonis",0.000285978760447226,0.000267647785719307,726
"391","Venerupis corrugata",0.443001727447395,0.0848964541494328,9
"392","Venus",6.49324019520731e-05,5.20962313392425e-05,4
"393","Vitreolina antiflexa",0.00100548033245446,0.000718262960885387,19
"394","Westwoodilla caecula",0.000295925457773403,0.000274520444235973,15
